Timestamp,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
2018-04-06 14:30:01,-0.1027,Fri Apr 06 14:30:01 +0000 2018,0.072,0.928,0.0,CBSNews,OMB chief Mick Mulvaney has given big pay bumps at the consumer agency he once wanted to abolish… https://t.co/Pna7OmSCl9
2018-04-06 14:35:06,-0.7906,Fri Apr 06 14:35:06 +0000 2018,0.28,0.72,0.0,nytimes,"President Trump raised the issue of rape against immigrants and further confused facts on tax overhaul, the trade d… https://t.co/Oex1wfEl9q"
2018-04-06 14:45:05,-0.4215,Fri Apr 06 14:45:05 +0000 2018,0.113,0.887,0.0,nytimes,RT @nytimesworld: “They should take all of their waste back to the Kremlin.” A small town takes in the capital's garbage after Putin ordere…
2018-04-06 14:46:26,-0.6124,Fri Apr 06 14:46:26 +0000 2018,0.252,0.676,0.072,BBCNews,"RT @BBCWorld: UFC fighter Conor McGregor seen in handcuffs after being charged with assault by NYPD 

https://t.co/I7NCUzoTTt https://t.co/…"
2018-04-06 14:51:06,0.4574,Fri Apr 06 14:51:06 +0000 2018,0.0,0.864,0.136,BBCNews,"RT @bbcweather: Warmest day of the year so far in the UK! 16.9C in St James's Park, London. Jo https://t.co/bwJSZg7lL7"
2018-04-06 14:53:02,-0.8074,Fri Apr 06 14:53:02 +0000 2018,0.378,0.622,0.0,CBSNews,"Details emerge about Utah teens found dead in an abandoned mine shaft
https://t.co/RNioo4f7Ox https://t.co/bt9MzBbsLU"
2018-04-06 14:55:48,-0.34,Fri Apr 06 14:55:48 +0000 2018,0.112,0.888,0.0,nytimes,"He was lunging at passers-by, pointing a pipe as if it were a gun, prompting 911 calls. Locals knew Saheed Vassell… https://t.co/adXVt375tV"
2018-04-06 15:10:01,0.3182,Fri Apr 06 15:10:01 +0000 2018,0.0,0.892,0.108,CBSNews,Seattle Mariners pitcher James Paxton kept his cool as a bald eagle landed on his shoulder before the Minnesota Twi… https://t.co/2qTLkOj0gF
2018-04-06 15:10:06,0.2023,Fri Apr 06 15:10:06 +0000 2018,0.115,0.734,0.151,nytimes,"Sean Hannity criticized Jimmy Kimmel for making fun of Melania Trump's Slovenian accent. On Thursday night, Kimmel… https://t.co/UtNzdTymZF"
2018-04-06 15:13:26,0.0,Fri Apr 06 15:13:26 +0000 2018,0.0,1.0,0.0,BBCNews,"RT @BBCRealityCheck: Is #violence increasing exponentially?
https://t.co/ZimW9cq9Kk https://t.co/9lt7OwWYce"
